[ERROR]: Aug-17-2022 15:23:28: 	Auth header is missing
[ERROR]: Aug-17-2022 15:23:28: 	Auth header is missing
[INFO]: Aug-17-2022 15:26:23: 	Server running on port 4001
[ERROR]: Aug-17-2022 15:27:27: 	House images of >4 are required
[ERROR]: Aug-17-2022 15:27:36: 	House images of >4 are required
[ERROR]: Aug-17-2022 15:27:42: 	House images of >4 are required
[ERROR]: Aug-17-2022 15:27:53: 	Incorrect integer value: '' for column 'floor_number' at row 1
[ERROR]: Aug-17-2022 15:47:45: 	User not found
[ERROR]: Aug-17-2022 16:09:33: 	User not found
[ERROR]: Aug-17-2022 16:22:34: 	Auth header is missing
[ERROR]: Aug-17-2022 16:23:36: 	Auth header is missing
[ERROR]: Aug-17-2022 16:26:28: 	Auth header is missing
[ERROR]: Aug-17-2022 16:26:35: 	Auth header is missing
[ERROR]: Aug-17-2022 16:26:42: 	Auth header is missing
[ERROR]: Aug-17-2022 16:27:10: 	Auth header is missing
[ERROR]: Aug-17-2022 16:27:37: 	Auth header is missing
[ERROR]: Aug-17-2022 16:28:18: 	jwt malformed
[ERROR]: Aug-17-2022 16:28:22: 	jwt malformed
[ERROR]: Aug-17-2022 16:28:30: 	jwt malformed
[ERROR]: Aug-17-2022 16:28:50: 	jwt malformed
[ERROR]: Aug-17-2022 16:28:53: 	jwt malformed
[ERROR]: Aug-17-2022 16:28:58: 	jwt malformed
[ERROR]: Aug-17-2022 16:29:58: 	jwt malformed
[ERROR]: Aug-17-2022 16:30:30: 	jwt malformed
[ERROR]: Aug-17-2022 16:43:45: 	jwt malformed
[ERROR]: Aug-17-2022 16:43:51: 	jwt malformed
[ERROR]: Aug-17-2022 16:44:52: 	jwt malformed
[ERROR]: Aug-17-2022 16:45:12: 	jwt malformed
[ERROR]: Aug-17-2022 16:51:56: 	jwt malformed
[INFO]: Aug-17-2022 17:17:21: 	Server running on port 4001
[INFO]: Aug-17-2022 17:17:27: 	Server running on port 4001
[INFO]: Aug-17-2022 17:17:31: 	Server running on port 4001
[ERROR]: Aug-17-2022 17:17:39: 	jwt malformed
[ERROR]: Aug-17-2022 17:17:50: 	jwt malformed
[INFO]: Aug-17-2022 17:18:18: 	Server running on port 4001
[INFO]: Aug-17-2022 17:21:48: 	Server running on port 4001
[ERROR]: Aug-17-2022 17:22:56: 	Auth header is missing
[ERROR]: Aug-17-2022 17:23:02: 	Auth header is missing
[ERROR]: Aug-17-2022 17:23:11: 	Auth header is missing
[ERROR]: Aug-17-2022 17:23:19: 	Auth header is missing
[ERROR]: Aug-17-2022 17:23:25: 	Auth header is missing
[ERROR]: Aug-17-2022 17:23:47: 	Auth header is missing
[INFO]: Aug-17-2022 17:26:04: 	Server running on port 4001
[INFO]: Aug-17-2022 17:26:20: 	Server running on port 4001
[INFO]: Aug-17-2022 17:27:59: 	Server running on port 4001
[INFO]: Aug-17-2022 17:28:01: 	Server running on port 4001
[INFO]: Aug-17-2022 17:28:17: 	Server running on port 4001
[INFO]: Aug-17-2022 17:28:22: 	Server running on port 4001
[INFO]: Aug-17-2022 17:29:36: 	Server running on port 4001
[INFO]: Aug-17-2022 17:29:57: 	Server running on port 4001
[INFO]: Aug-17-2022 17:30:01: 	Server running on port 4001
[INFO]: Aug-17-2022 17:31:17: 	Server running on port 4001
[INFO]: Aug-17-2022 17:31:23: 	Server running on port 4001
[INFO]: Aug-17-2022 17:33:08: 	Server running on port 4001
[INFO]: Aug-17-2022 17:34:31: 	Server running on port 4001
[INFO]: Aug-17-2022 17:41:20: 	Server running on port 4001
[INFO]: Aug-17-2022 17:41:40: 	Server running on port 4001
[INFO]: Aug-17-2022 17:44:33: 	Server running on port 4001
[INFO]: Aug-17-2022 17:45:13: 	Server running on port 4001
[INFO]: Aug-17-2022 17:46:05: 	Server running on port 4001
[INFO]: Aug-17-2022 17:46:35: 	Server running on port 4001
[INFO]: Aug-17-2022 17:47:41: 	Server running on port 4001
[INFO]: Aug-17-2022 17:50:19: 	Server running on port 4001
[INFO]: Aug-17-2022 17:50:42: 	Server running on port 4001
[INFO]: Aug-17-2022 17:52:12: 	Server running on port 4001
[INFO]: Aug-17-2022 17:52:51: 	Server running on port 4001
[INFO]: Aug-17-2022 17:53:20: 	Server running on port 4001
[INFO]: Aug-17-2022 17:53:24: 	Server running on port 4001
[INFO]: Aug-17-2022 17:54:10: 	Server running on port 4001
[INFO]: Aug-17-2022 17:54:12: 	Server running on port 4001
[INFO]: Aug-17-2022 17:54:46: 	Server running on port 4001
[ERROR]: Aug-17-2022 17:54:51: 	Auth header is missing
[INFO]: Aug-17-2022 17:55:48: 	Server running on port 4001
[ERROR]: Aug-17-2022 17:55:52: 	Auth header is missing
[INFO]: Aug-17-2022 18:01:36: 	Server running on port 4001
[INFO]: Aug-17-2022 18:02:19: 	Server running on port 4001
[INFO]: Aug-17-2022 18:02:27: 	Server running on port 4001
[INFO]: Aug-17-2022 18:06:00: 	Server running on port 4001
[INFO]: Aug-17-2022 18:06:16: 	Server running on port 4001
[INFO]: Aug-17-2022 18:06:18: 	Server running on port 4001
[INFO]: Aug-17-2022 18:08:17: 	Server running on port 4001
[INFO]: Aug-17-2022 18:17:07: 	Server running on port 4001
[INFO]: Aug-17-2022 18:18:03: 	Server running on port 4001
[INFO]: Aug-17-2022 18:18:41: 	Server running on port 4001
[INFO]: Aug-17-2022 18:18:53: 	Server running on port 4001
[INFO]: Aug-17-2022 18:18:56: 	Server running on port 4001
[INFO]: Aug-17-2022 18:20:39: 	Server running on port 4001
[INFO]: Aug-17-2022 18:23:01: 	Server running on port 4001
[INFO]: Aug-17-2022 18:23:03: 	Server running on port 4001
[INFO]: Aug-17-2022 18:23:06: 	Server running on port 4001
[INFO]: Aug-17-2022 18:24:01: 	Server running on port 4001
[INFO]: Aug-17-2022 18:24:07: 	Server running on port 4001
[INFO]: Aug-17-2022 18:24:16: 	Server running on port 4001
[INFO]: Aug-17-2022 18:24:18: 	Server running on port 4001
[INFO]: Aug-17-2022 18:25:37: 	Server running on port 4001
[INFO]: Aug-17-2022 18:26:04: 	Server running on port 4001
[INFO]: Aug-17-2022 18:26:34: 	Server running on port 4001
[ERROR]: Aug-17-2022 18:27:01: 	NOT_FOUND
[ERROR]: Aug-17-2022 18:27:06: 	NOT_FOUND
[ERROR]: Aug-17-2022 18:27:18: 	HouseImage is not defined
[ERROR]: Aug-17-2022 18:27:35: 	HouseImage is not defined
[ERROR]: Aug-17-2022 18:27:36: 	HouseImage is not defined
[INFO]: Aug-17-2022 18:27:55: 	Server running on port 4001
[ERROR]: Aug-17-2022 18:27:58: 	HouseImage.findMany is not a function
[INFO]: Aug-17-2022 18:28:04: 	Server running on port 4001
[INFO]: Aug-17-2022 18:28:06: 	Server running on port 4001
[INFO]: Aug-17-2022 18:28:48: 	Server running on port 4001
[INFO]: Aug-17-2022 18:28:54: 	Server running on port 4001
[INFO]: Aug-17-2022 18:29:02: 	Server running on port 4001
[INFO]: Aug-17-2022 18:29:04: 	Server running on port 4001
[ERROR]: Aug-17-2022 18:29:31: 	HouseImages is not defined
[INFO]: Aug-17-2022 18:29:53: 	Server running on port 4001
[INFO]: Aug-17-2022 18:31:36: 	Server running on port 4001
[INFO]: Aug-17-2022 18:31:38: 	Server running on port 4001
[INFO]: Aug-17-2022 18:32:28: 	Server running on port 4001
[INFO]: Aug-17-2022 18:32:49: 	Server running on port 4001
[ERROR]: Aug-17-2022 18:36:27: 	Auth header is missing
[ERROR]: Aug-17-2022 18:36:34: 	Auth header is missing
[ERROR]: Aug-17-2022 18:36:59: 	User not found
[ERROR]: Aug-17-2022 18:37:01: 	User not found
[ERROR]: Aug-17-2022 18:37:42: 	Auth header is missing
[INFO]: Aug-17-2022 18:47:05: 	Server running on port 4001
[INFO]: Aug-17-2022 18:48:03: 	Server running on port 4001
[INFO]: Aug-17-2022 18:48:05: 	Server running on port 4001
[INFO]: Aug-17-2022 18:48:07: 	Server running on port 4001
[INFO]: Aug-17-2022 18:48:14: 	Server running on port 4001
[INFO]: Aug-17-2022 18:48:19: 	Server running on port 4001
[INFO]: Aug-19-2022 11:15:15: 	Server running on port 4001
[INFO]: Aug-19-2022 11:18:30: 	Server running on port 4001
[INFO]: Aug-19-2022 15:38:25: 	Server running on port 4001
[INFO]: Aug-19-2022 15:38:35: 	Server running on port 4001
[INFO]: Aug-20-2022 11:28:53: 	Server running on port 4001
[INFO]: Aug-20-2022 11:29:54: 	Server running on port 4001
[INFO]: Aug-20-2022 11:30:11: 	Server running on port 4001
[INFO]: Aug-20-2022 12:34:56: 	Server running on port 4001
[INFO]: Aug-20-2022 12:38:32: 	Server running on port 4001
[INFO]: Aug-20-2022 12:43:09: 	Server running on port 4001
[INFO]: Aug-20-2022 12:43:11: 	Server running on port 4001
[INFO]: Aug-20-2022 13:02:19: 	Server running on port 4001
[INFO]: Aug-20-2022 13:02:21: 	Server running on port 4001
[INFO]: Aug-20-2022 13:02:29: 	Server running on port 4001
[INFO]: Aug-20-2022 13:02:49: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:15:03: 	User not found
[ERROR]: Aug-20-2022 13:15:07: 	User not found
[ERROR]: Aug-20-2022 13:15:55: 	User not found
[ERROR]: Aug-20-2022 13:16:28: 	User not found
[ERROR]: Aug-20-2022 13:16:56: 	User not found
[ERROR]: Aug-20-2022 13:21:43: 	Unexpected field
[INFO]: Aug-20-2022 13:22:21: 	Server running on port 4001
[INFO]: Aug-20-2022 13:22:23: 	Server running on port 4001
[INFO]: Aug-20-2022 13:23:26: 	Server running on port 4001
[INFO]: Aug-20-2022 13:23:46: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:23:50: 	Unexpected field
[INFO]: Aug-20-2022 13:24:30: 	Server running on port 4001
[INFO]: Aug-20-2022 13:24:35: 	Server running on port 4001
[INFO]: Aug-20-2022 13:24:37: 	Server running on port 4001
[INFO]: Aug-20-2022 13:25:00: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:25:53: 	Unexpected field
[ERROR]: Aug-20-2022 13:26:21: 	Unexpected field
[INFO]: Aug-20-2022 13:26:38: 	Server running on port 4001
[INFO]: Aug-20-2022 13:29:51: 	Server running on port 4001
[INFO]: Aug-20-2022 13:30:09: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:30:12: 	Unexpected field
[ERROR]: Aug-20-2022 13:30:48: 	Unexpected field
[INFO]: Aug-20-2022 13:33:55: 	Server running on port 4001
[INFO]: Aug-20-2022 13:35:03: 	Server running on port 4001
[INFO]: Aug-20-2022 13:35:16: 	Server running on port 4001
[INFO]: Aug-20-2022 13:35:54: 	Server running on port 4001
[ERROR]: Aug-20-2022 13:36:02: 	Unexpected field
[ERROR]: Aug-20-2022 13:36:03: 	Unexpected field
[INFO]: Aug-20-2022 13:38:19: 	Server running on port 4001
[INFO]: Aug-20-2022 13:39:00: 	Server running on port 4001
[INFO]: Aug-20-2022 13:39:32: 	Server running on port 4001
[INFO]: Aug-20-2022 13:39:51: 	Server running on port 4001
[INFO]: Aug-20-2022 13:41:10: 	Server running on port 4001
[INFO]: Aug-20-2022 13:41:12: 	Server running on port 4001
[INFO]: Aug-20-2022 13:41:52: 	Server running on port 4001
[INFO]: Aug-20-2022 13:44:06: 	Server running on port 4001
[INFO]: Aug-20-2022 13:45:34: 	Server running on port 4001
[INFO]: Aug-20-2022 13:45:39: 	Server running on port 4001
[INFO]: Aug-20-2022 13:46:24: 	Server running on port 4001
[INFO]: Aug-20-2022 13:46:28: 	Server running on port 4001
[INFO]: Aug-20-2022 13:47:23: 	Server running on port 4001
[INFO]: Aug-20-2022 13:47:37: 	Server running on port 4001
[INFO]: Aug-20-2022 13:48:05: 	Server running on port 4001
[INFO]: Aug-20-2022 13:49:11: 	Server running on port 4001
[INFO]: Aug-20-2022 13:49:20: 	Server running on port 4001
[INFO]: Aug-20-2022 13:49:25: 	Server running on port 4001
[INFO]: Aug-20-2022 13:50:06: 	Server running on port 4001
[INFO]: Aug-20-2022 13:50:37: 	Server running on port 4001
